Subject,Soundscape_Type,BDS_Modality,PANAS-N_Pre,PANAS-P_Pre,PANAS-N_Post,PANAS-P_Post,PANAS-N_Overall,PANAS_P_Overall,PANAS-N_Difference,PANAS-P_Difference,BDS_Pre,BDS_Post,BDS_ZNorm_Pre,BDS_ZNorm_Post,DNB_Pre,DNB_Post,DNB_ZNorm_Pre,DNB_ZNorm_Post,Aesthetic_Ratings,ZNorm_Pre_Average,ZNorm_Post_Average,ZNorm_Improvement_Average,Age,Gender,Guessed Purpose?
1,N,A,2.6,2.7,2.2,2.2,2.4,2.45,-0.4,-0.5,8,11,-0.621533619,0.571053731,1.902088386,2.07716304,0.570139565,0.879519689,2.325,-0.025697027,0.72528671,0.750983737,20,F,0
2,U,A,1.8,3.7,1.6,3,1.7,3.35,-0.2,-0.7,6,6,-1.416591852,-1.416591852,1.365621885,1.58107668,-0.377867865,0.002869322,2.1,-0.897229859,-0.706861265,0.190368594,21,M,0
3,N,V,3.1,2.5,2.9,2.3,3,2.4,-0.2,-0.2,8,11,-0.621533619,0.571053731,1.809164568,2.588592996,0.405930859,1.783284225,1.9,-0.10780138,1.177168978,1.284970358,19,F,1
4,U,V,1.7,2.9,1.3,3.2,1.5,3.05,-0.4,0.3,11,13,0.571053731,1.366111964,1.768479847,2.082642827,0.334035563,0.889203199,2.225,0.452544647,1.127657582,0.675112935,20,F,1
5,N,V,1.6,2.4,1.5,2.5,1.55,2.45,-0.1,0.1,12,11,0.968582847,0.571053731,2.792282105,2.953092471,2.143229885,2.427403121,2.425,1.555906366,1.499228426,-0.05667794,21,F,1
6,N,A,1.1,2.6,1.1,2.4,1.1,2.5,0,-0.2,12,12,0.968582847,0.968582847,2.14071425,1.400740768,0.991823103,-0.315808143,2.4,0.980202975,0.326387352,-0.653815623,20,M,1
7,U,A,1.3,4.4,2.2,2.3,1.75,3.35,0.9,-2.1,10,11,0.173524614,0.571053731,2.117770946,2.007074926,0.951279243,0.7556647,1.625,0.562401929,0.663359215,0.100957287,21,M,1
8,N,V,1,3.6,1.2,3.9,1.1,3.75,0.2,0.3,7,10,-1.019062735,0.173524614,1.352167809,2.206827837,-0.401643001,1.108654576,1.85,-0.710352868,0.641089595,1.351442463,20,F,1
9,U,V,1.7,1.8,1.2,2.7,1.45,2.25,-0.5,0.9,6,9,-1.416591852,-0.224004502,1.675662187,1.677865134,0.170014452,0.173907352,1.625,-0.6232887,-0.025048575,0.598240124,19,M,0
10,N,A,1.5,3.5,1.3,3.7,1.4,3.6,-0.2,0.2,12,14,0.968582847,1.76364108,1.833943045,2.399639086,0.449717713,1.449377615,2.2,0.70915028,1.606509348,0.897359068,21,M,0
11,U,A,1.8,3.4,1.3,3.3,1.55,3.35,-0.5,-0.1,8,8,-0.621533619,-0.621533619,1.950479483,1.519227678,0.655653049,-0.106426065,1.9,0.017059715,-0.363979842,-0.381039557,19,F,0
12,N,V,2.4,3.1,2.5,3.3,2.45,3.2,0.1,0.2,6,11,-1.416591852,0.571053731,1.247102304,1.609313611,-0.587307678,0.052767722,2.65,-1.001949765,0.311910727,1.313860491,20,F,1
13,U,V,1.1,3,1.4,3,1.25,3,0.3,0,7,5,-1.019062735,-1.814120968,0.939920986,1.265321505,-1.130137792,-0.555111934,2.025,-1.074600264,-1.184616451,-0.110016188,20,M,0
14,N,A,3.1,1.6,2.6,1.8,2.85,1.7,-0.5,0.2,8,8,-0.621533619,-0.621533619,-0.375487687,0.21677108,-3.454639309,-2.408039548,2.025,-2.038086464,-1.514786584,0.52329988,20,F,0
15,U,A,2.3,4.3,2.1,3.4,2.2,3.85,-0.2,-0.9,10,11,0.173524614,0.571053731,1.347022186,1.852759908,-0.410735999,0.482969604,2.075,-0.118605693,0.527011668,0.64561736,20,M,0
16,N,V,1.4,3.5,1.5,2.7,1.45,3.1,0.1,-0.8,10,12,0.173524614,0.968582847,1.639099372,1.966283526,0.105403111,0.683580888,2.8,0.139463863,0.826081868,0.686618005,20,M,0
