"id","soundscape_type","bds_pre","bds_post","dnb_pre","dnb_post","guessed_purpose"
1,"N",8,11,1.902088386,2.07716304,0
2,"U",6,6,1.365621885,1.58107668,0
3,"N",8,11,1.809164568,2.588592996,1
4,"U",11,13,1.768479847,2.082642827,1
5,"N",12,11,2.792282105,2.953092471,1
6,"N",12,12,2.14071425,1.400740768,1
7,"U",10,11,2.117770946,2.007074926,1
8,"N",7,10,1.352167809,2.206827837,1
9,"U",6,9,1.675662187,1.677865134,0
10,"N",12,14,1.833943045,2.399639086,0
11,"U",8,8,1.950479483,1.519227678,0
12,"N",6,11,1.247102304,1.609313611,1
13,"U",7,5,0.939920986,1.265321505,0
14,"N",8,8,-0.375487687,0.21677108,0
15,"U",10,11,1.347022186,1.852759908,0
16,"N",10,12,1.639099372,1.966283526,0
17,"U",8,8,1.698871663,1.577327045,0
18,"N",6,5,1.43587236,1.444454275,0
19,"U",11,9,1.502477319,1.277998918,0
20,"N",12,11,1.50222217,1.955461244,1
21,"U",8,7,1.347444126,2.122042976,0
22,"N",9,10,1.698871663,1.951195573,0
23,"U",3,4,0.807415775,1.223012033,0
24,"N",14,14,2.0129679,2.346338346,0
25,"U",11,8,1.770398806,1.504099821,0
26,"N",5,10,1.045715925,0.693344509,0
27,"U",7,4,-0.109357571,0.243031673,0
28,"N",9,8,1.240533179,1.502477319,0
29,"U",14,14,1.134483091,1.352167809,0
30,"N",10,12,1.441665934,2.019656384,0
31,"U",11,14,2.413037701,2.236827278,0
32,"N",8,6,0.546727566,0.83421579,0
33,"U",6,6,0.745149144,0.959080854,0
34,"N",11,13,1.558923982,1.396427231,0
35,"U",10,11,2.421267103,2.019656384,1
36,"N",10,7,2.144267334,2.869330723,0
37,"U",11,11,2.277451594,1.703294512,0
38,"N",13,14,1.352167809,1.504099821,0
39,"U",13,9,1.891449701,1.239233156,0
40,"N",13,13,1.962567182,1.722521075,0
42,"U",5,9,1.142611944,1.426650184,0
43,"U",10,8,1.44980009,1.744548939,0
44,"N",12,11,1.371159574,1.962567182,1
45,"U",11,10,1.031438398,1.414496357,1
46,"U",10,9,1.639099372,1.954010204,0
47,"N",8,10,1.196732701,1.760643991,0
48,"U",14,13,1.498297823,1.426650184,0
49,"N",12,11,1.067570524,0.731808084,1
50,"U",9,7,1.10801082,0.355520428,0
52,"U",6,8,1.869346874,1.916356542,0
53,"N",10,10,0.896272063,1.44910446,0
54,"U",6,10,1.893688917,0.973068157,1
55,"N",9,11,2.047920312,2.121382455,1
56,"U",8,8,1.833943045,2.144415155,0
57,"N",10,13,0.991780015,1.577327045,0
58,"U",9,10,1.218217679,1.556349258,0
59,"N",7,8,1.45491847,1.255673452,0
60,"U",11,9,1.028804762,1.482106231,1
61,"N",10,9,1.134483091,2.361013155,1
62,"U",10,9,1.400740768,2.087596541,1
63,"N",12,14,2.588592996,2.30947227,0
64,"U",8,8,1.468988744,2.037495939,0
65,"N",9,9,1.277998918,1.902088386,0
